"City", "Season", "Month", "Promotions", "Offers", "ShippingOptions", "LocalFestivals", "WebsiteThemeType", "PricingStrategy"
"Ahmadabad, India",Spring,December,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),DarkSlateBlue,High Initial Price
"Ahmadabad, India",Spring,December,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),LightSkyBlue,High Initial Price
"Ahmadabad, India",Spring,December,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Lavender,High Initial Price
"Ahmadabad, India",Spring,December,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),IndianRed,High Initial Price
"Ahmadabad, India",Spring,December,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),PaleVioletRed,High Initial Price
"Ahmadabad, India",Summer,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Yellow,Differentiation
"Ahmadabad, India",Summer,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),DarkBlue,Differentiation
"Ahmadabad, India",Summer,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Sienna,Differentiation
"Ahmadabad, India",Summer,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Azure,Differentiation
"Ahmadabad, India",Summer,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),PaleTurquoise,Differentiation
"Ahmadabad, India",Summer,December,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),DeepPink,High Initial Price
"Ahmadabad, India",Wet Season,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),LightSalmon,Demand-Based Pricing
"Ahmadabad, India",Wet Season,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Khaki,Demand-Based Pricing
"Ahmadabad, India",Wet Season,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),HoneyDew,Demand-Based Pricing
"Ahmadabad, India",Wet Season,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),DarkGreen,Differentiation
"Ahmadabad, India",Wet Season,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),MediumSpringGreen,Demand-Based Pricing
"Ahmadabad, India",Wet Season,August,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Indigo,Demand-Based Pricing
"Ahmadabad, India",Winter,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),DeepPink,Below-Cost Selling
"Ahmadabad, India",Winter,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),DarkTurquoise,Below-Cost Selling
"Ahmadabad, India",Winter,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),White,Below-Cost Selling
"Ahmadabad, India",Winter,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Crimson,Below-Cost Selling
"Ahmadabad, India",Winter,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),SeaGreen,Below-Cost Selling
"Ahmadabad, India",Winter,April,Cashback Offers,Limited-Time Offers,Two-Day Shipping,Independence Day (USA),Aqua,Below-Cost Selling
"Albuquerque, USA",Autumn (Fall),September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkRed,Subscription Models
"Albuquerque, USA",Autumn (Fall),September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Thistle,Subscription Models
"Albuquerque, USA",Autumn (Fall),September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Chartreuse,Subscription Models
"Albuquerque, USA",Autumn (Fall),September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),RosyBrown,Subscription Models
"Albuquerque, USA",Autumn (Fall),September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightCyan,Subscription Models
"Albuquerque, USA",Autumn (Fall),September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Olive,Subscription Models
"Albuquerque, USA",Deep Winter,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),MediumPurple,Seasonal Pricing
"Albuquerque, USA",Deep Winter,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightBlue,Seasonal Pricing
"Albuquerque, USA",Deep Winter,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightYellow,Seasonal Pricing
"Albuquerque, USA",Deep Winter,September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightGreen,Seasonal Pricing
"Albuquerque, USA",Deep Winter,September,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Maroon,Seasonal Pricing
"Albuquerque, USA",Dry Season,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Purple,Regional Pricing
"Albuquerque, USA",Dry Season,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Gainsboro,Regional Pricing
"Albuquerque, USA",Dry Season,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Crimson,Regional Pricing
"Albuquerque, USA",Dry Season,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkOrange,Regional Pricing
"Albuquerque, USA",Dry Season,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Tan,Regional Pricing
"Albuquerque, USA",Dry Season,October,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),BurlyWood,Regional Pricing
"Albuquerque, USA",Early Autumn,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Aqua,Promotional Discounts
"Albuquerque, USA",Early Autumn,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Navy,Promotional Discounts
"Albuquerque, USA",Early Autumn,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),SpringGreen,Promotional Discounts
"Albuquerque, USA",Early Autumn,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Linen,Promotional Discounts
"Albuquerque, USA",Early Autumn,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Magenta,Promotional Discounts
"Albuquerque, USA",Early Spring,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),ForestGreen,Product Bundles
"Albuquerque, USA",Early Spring,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightCoral,Product Bundles
"Albuquerque, USA",Early Spring,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkMagenta,Product Bundles
"Albuquerque, USA",Early Spring,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LawnGreen,Product Bundles
"Albuquerque, USA",Early Spring,November,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Gold,Product Bundles
"Albuquerque, USA",Early Summer,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),SpringGreen,Product Bundles
"Albuquerque, USA",Early Summer,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),BlueViolet,Price Matching
"Albuquerque, USA",Early Summer,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Plum,Price Matching
"Albuquerque, USA",Early Summer,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkCyan,Price Matching
"Albuquerque, USA",Early Summer,May,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Moccasin,Price Matching
"Albuquerque, USA",Early Winter,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LawnGreen,Price Matching
"Albuquerque, USA",Early Winter,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Lime,Price Matching
"Albuquerque, USA",Early Winter,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Orchid,Price Ending
"Albuquerque, USA",Early Winter,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Lavender,Price Ending
"Albuquerque, USA",Early Winter,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkOrange,Price Ending
"Albuquerque, USA",Early Winter,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),FireBrick,Price Ending
"Albuquerque, USA",Late Autumn,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),BlanchedAlmond,Prestige Pricing
"Albuquerque, USA",Late Autumn,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Peru,Prestige Pricing
"Albuquerque, USA",Late Autumn,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Salmon,Price Ending
"Albuquerque, USA",Late Autumn,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkGreen,Prestige Pricing
"Albuquerque, USA",Late Autumn,March,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),SlateGray,Prestige Pricing
"Albuquerque, USA",Late Spring,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkOliveGreen,Prestige Pricing
"Albuquerque, USA",Late Spring,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),MintCream,Prestige Pricing
"Albuquerque, USA",Late Spring,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),GreenYellow,Perceived Value
"Albuquerque, USA",Late Spring,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightSteelBlue,Perceived Value
"Albuquerque, USA",Late Spring,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Plum,Perceived Value
"Albuquerque, USA",Late Summer,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Tomato,Perceived Value
"Albuquerque, USA",Late Summer,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DimGray,Markup Based on Cost
"Albuquerque, USA",Late Summer,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),RebeccaPurple,Markup Based on Cost
"Albuquerque, USA",Late Summer,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkGoldenRod,Markup Based on Cost
"Albuquerque, USA",Late Summer,June,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Ivory,Perceived Value
"Albuquerque, USA",Late Winter ,January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),MediumVioletRed,Market-Based Pricing
"Albuquerque, USA",Late Winter ,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),SkyBlue,Markup Based on Cost
"Albuquerque, USA",Late Winter ,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Bisque,Markup Based on Cost
"Albuquerque, USA",Late Winter ,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),PapayaWhip,Markup Based on Cost
"Albuquerque, USA",Late Winter ,July,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),OliveDrab,Market-Based Pricing
"Albuquerque, USA",Monsoon (Rainy Season),January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkSlateBlue,Market-Based Pricing
"Albuquerque, USA",Monsoon (Rainy Season),January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightSkyBlue,Market-Based Pricing
"Albuquerque, USA",Monsoon (Rainy Season),January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Lavender,Market-Based Pricing
"Albuquerque, USA",Monsoon (Rainy Season),January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),IndianRed,Low Initial Price
"Albuquerque, USA",Monsoon (Rainy Season),January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),PaleVioletRed,Low Initial Price
"Albuquerque, USA",Monsoon (Rainy Season),January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DeepPink,Low Initial Price
"Albuquerque, USA",Post-monsoon (Retreating Monsoon) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Sienna,Low Initial Price
"Albuquerque, USA",Post-monsoon (Retreating Monsoon) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Azure,Localized Promotions
"Albuquerque, USA",Post-monsoon (Retreating Monsoon) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),PaleTurquoise,Localized Promotions
"Albuquerque, USA",Post-monsoon (Retreating Monsoon) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkGreen,Localized Promotions
"Albuquerque, USA",Post-monsoon (Retreating Monsoon) ,January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Yellow,Low Initial Price
"Albuquerque, USA",Post-monsoon (Retreating Monsoon) ,January,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkBlue,Low Initial Price
"Albuquerque, USA",Pre-monsoon (Hot Season) ,December,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DeepPink,Limited Edition Releases
"Albuquerque, USA",Pre-monsoon (Hot Season) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),MediumSpringGreen,Localized Promotions
"Albuquerque, USA",Pre-monsoon (Hot Season) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Indigo,Localized Promotions
"Albuquerque, USA",Pre-monsoon (Hot Season) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),LightSalmon,Limited Edition Releases
"Albuquerque, USA",Pre-monsoon (Hot Season) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),Khaki,Limited Edition Releases
"Albuquerque, USA",Pre-monsoon (Hot Season) ,February,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),HoneyDew,Limited Edition Releases
"Albuquerque, USA",Spring,December,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),DarkTurquoise,Limited Edition Releases
"Albuquerque, USA",Spring,December,Digital Coupons,Dollar Amount Discount,Flat-Rate Shipping,Purim (Jewish Communities Worldwide),White,Limited Edition Releases
